Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8138,0.832,0.09669223861377803,0.09737284707924876,1.579563334511246
2525,0.3085,0.7488,0.0670022404304654,0.11504427446695517,30.418080324793337
4950,0.057599999999999985,0.7556,0.04301032220687654,0.16898152145938128,70.09974693039156
7375,0.0041999999999999815,0.7928,0.021630788797577308,0.3348534894056009,143.39402705023386
9800,0.0,0.8692,0.0014988774891613052,4.1873132150410175,663.7157776322429
9850,0.0,0.898,0.0011293678519615844,5.792461304931909,780.6893121023298
9900,0.0,0.8808,0.0007613081203643894,8.874935245263012,970.8421293708008
9950,0.0,0.8744000000000001,0.0003531269856196522,16.733057172934807,1340.9179542730628
10000,0.0,0.8896,4.277730589843699e-05,41.573733834796315,2115.9397643698435
10050,0.0,0.888,9.322370972149341e-07,16.935595121296988,1345.8988114854387
10100,0.0,0.8904,1.1356782761510238e-07,8.132257024989816,927.8608518983062
10150,0.0,0.8884,3.538348605484913e-08,5.733872721152334,784.744205483462
10200,0.0,0.8716,1.7673110740709316e-08,4.647916911419069,709.3700141968383
10201,0.0,0.8768,1.5320276299779045e-08,4.400313683026494,687.7452141929548
13758,0.0,0.7892,6.344819047277089e-12,0.3051841408021768,185.71673692742476
17315,0.0,0.748,1.7479815926710349e-12,0.19295257896864482,148.83668433702226
20872,0.0,0.722,9.580104264125609e-13,0.15143440088336985,133.834093588288
24429,0.0,0.7,6.806422615924031e-13,0.13289723281994373,126.09313458818082
27986,0.0,0.6944,5.397031973018308e-13,0.12073946232828818,121.22550978161208
31543,0.0,0.6788000000000001,4.563724542960472e-13,0.11415799497823317,117.36296548300017
35100,0.0,0.6808000000000001,3.9640957973721084e-13,0.1066524477891101,114.35786606650205
38657,0.0,0.6572,3.553167973542397e-13,0.102789385331396,112.37474164785047
42214,0.0,0.6335999999999999,3.2794064385559254e-13,0.09923307024259434,110.94292027700578
45771,0.0,0.6344000000000001,3.0479944434552506e-13,0.09646334759805217,109.44334561022191
49328,0.0,0.6436,2.9091906527689787e-13,0.09435038107388861,108.48190178009536
52885,0.0,0.6264000000000001,2.807882353227861e-13,0.09278528959170303,107.62641279488659
56442,0.0,0.5984,2.6599962500851956e-13,0.08995201554711417,106.6747606778528
60000,0.0,0.6132,2.5863447196869005e-13,0.09022558488770634,106.1154315501618
