Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8106,0.8192,0.09667047700656413,0.09712731770586161,1.5943540904230615
2525,0.3035,0.7336,0.06654689175440988,0.11521179121808314,30.47185129921555
4950,0.05569999999999997,0.7552,0.042269900207051486,0.16950346801376134,70.18275915117003
7375,0.0040999999999999925,0.7956,0.02148911674894479,0.32101701812553757,139.6182881654636
9800,0.0,0.8752,0.0015896444989603506,4.26627942736531,662.5183058967184
9850,0.0,0.8704000000000001,0.0010700713416078149,5.667841023585019,768.5248794367014
9900,0.0,0.8852,0.0007173234120670985,8.884519009992562,967.5869960334983
9950,0.0,0.8976,0.0003710695686167338,16.08400422507784,1306.8844682297233
10000,0.0,0.9012,4.574028146371486e-05,34.032308179971736,1901.1039060711707
10050,0.0,0.884,7.197212542133215e-07,15.266023276297698,1278.4347781517458
10100,0.0,0.886,1.2449076033563993e-07,8.789436348442738,976.2230659559093
10150,0.0,0.8864,3.4936363860986984e-08,5.673836273621491,780.1570054789349
10200,0.0,0.8772,1.3939465094322165e-08,4.14328384209728,666.4087032038477
10201,0.0,0.8812,1.5380649249276676e-08,4.342270412771166,678.1347848011235
13758,0.0,0.7772,5.988640664980791e-12,0.3000472534052263,183.716292995642
17315,0.0,0.754,1.6896599603461631e-12,0.18948025070556707,147.79021416495104
20872,0.0,0.7232000000000001,9.034319948663851e-13,0.1512694225896543,132.90583454940707
24429,0.0,0.6944,6.282689016137451e-13,0.12981437594794065,124.69614099191439
27986,0.0,0.688,4.966968575363675e-13,0.11972821554141022,119.86361135439371
31543,0.0,0.6828000000000001,4.1839571055482043e-13,0.1121338393035984,116.18342225484028
35100,0.0,0.6579999999999999,3.6626760131626225e-13,0.10408995637586489,113.67926234534018
38657,0.0,0.6492,3.3015327682800204e-13,0.101333937090278,111.38470644902942
42214,0.0,0.6424000000000001,3.051248547417909e-13,0.09777287550388616,109.93282615589945
45771,0.0,0.634,2.823915505939813e-13,0.09551139545048666,108.44936578759673
49328,0.0,0.632,2.6940992866895907e-13,0.0939711669377066,107.55986355732539
52885,0.0,0.6188,2.564126982835378e-13,0.09169885020832137,106.68652731817663
56442,0.0,0.6052,2.461313159420347e-13,0.08907628962687038,105.8541879984556
60000,0.0,0.614,2.3548180309477494e-13,0.08823616584360947,104.97686200687318
