Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8043,0.8251999999999999,0.09667350550088775,0.09781562591951921,1.6252406780576076
2525,0.3035,0.7576,0.0664759123557718,0.1178475084689273,30.52443136726821
4950,0.05879999999999996,0.7452,0.04288729464176759,0.16782984673513884,69.58382663496754
7375,0.0041999999999999815,0.7888,0.021306942703652756,0.32197190131318687,140.27964556665904
9800,0.0,0.864,0.00149402121735409,4.134548403231668,663.3452505505016
9850,0.0,0.8852,0.00116039062128956,5.892598485985587,787.4622456575477
9900,0.0,0.8832,0.00075298717234385,8.445319058454764,945.9707987269733
9950,0.0,0.8884,0.00040612159135102355,15.782873688838743,1293.2325980982432
10000,0.0,0.8928,4.9927929944008075e-05,39.29260929803574,2049.792349309601
10050,0.0,0.8864,7.498913844429431e-07,15.419141728127059,1290.2007426094308
10100,0.0,0.9016,1.1200400373575262e-07,8.514332391732161,961.1211430523339
10150,0.0,0.8888,3.895322792891366e-08,5.937147561929824,799.4524813239744
10200,0.0,0.8815999999999999,1.620514506089833e-08,4.451798159964685,693.5407390804822
10201,0.0,0.8828,1.4134147510550343e-08,4.223511811817631,681.666102906841
13758,0.0,0.7804,6.090567280751934e-12,0.3052167694347432,184.76204562042415
17315,0.0,0.7444,1.7066776029204793e-12,0.18872619567532997,147.80683400796852
20872,0.0,0.7308,9.066368480007173e-13,0.15048620806836704,132.70781114900146
24429,0.0,0.7063999999999999,6.575456022997165e-13,0.1320892426117031,125.35912541352918
27986,0.0,0.6839999999999999,5.069317806892443e-13,0.11955515258077783,119.9448090862057
31543,0.0,0.6796,4.2480094386125176e-13,0.11249293460407432,116.1250171773872
35100,0.0,0.6592,3.7687998106766115e-13,0.10582492319503882,113.65663354692127
38657,0.0,0.6464,3.4179628895604477e-13,0.10191800899974637,111.84232777928534
42214,0.0,0.6468,3.1360384440046925e-13,0.09846441369519106,110.09212702403259
45771,0.0,0.6404000000000001,2.88331650106706e-13,0.09528412344647498,108.41588997218314
49328,0.0,0.6128,2.7559691123626e-13,0.0932964818137649,107.59497645886259
52885,0.0,0.6224000000000001,2.647787000166364e-13,0.09174848276258131,106.95563706575479
56442,0.0,0.6172,2.5210770928329984e-13,0.0909382258003077,105.82407680880468
60000,0.0,0.6104,2.4291696294217903e-13,0.08976964847293745,105.29207622157871
