Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8026,0.8228,0.09675705173201246,0.0976651617797948,1.5934398795265348
2525,0.30700000000000005,0.7508,0.06644607011335468,0.11633398597233498,30.323950622824206
4950,0.05589999999999995,0.7588,0.04270190787466097,0.1689732303403937,70.0064483051248
7375,0.0034999999999999476,0.7876,0.021097058112990515,0.32649072661618017,141.47508338132147
9800,0.0,0.8704000000000001,0.001620202393626266,4.174624042133614,663.367456676388
9850,0.0,0.8876,0.0011666408249967808,5.54206628166308,760.9580009309127
9900,0.0,0.8864,0.0007322364521666115,8.273827129508561,930.8769916002769
9950,0.0,0.8908,0.000373083273685151,17.271067216096753,1348.0428074901065
10000,0.0,0.9016,3.8118511599846014e-05,37.40991293437438,2027.1366315860512
10050,0.0,0.8952,1.0478051746785448e-06,17.88180403644136,1399.72841711687
10100,0.0,0.8936,1.0997379671352297e-07,8.065566656350907,935.8704282242295
10150,0.0,0.882,3.8082755561007506e-08,6.080323038772555,811.6354560889642
10200,0.0,0.8855999999999999,1.4193462747936273e-08,4.123255039326827,669.9465875958357
10201,0.0,0.8756,1.3780675181752611e-08,4.205354728143796,672.1008336513511
13758,0.0,0.7832,6.036527883161361e-12,0.2952227251224996,182.56608179884353
17315,0.0,0.7492,1.7414127171865567e-12,0.191493937177011,147.6701414719287
20872,0.0,0.7256,9.25903301539943e-13,0.15075638342872394,132.46522359762474
24429,0.0,0.7163999999999999,6.605223828884401e-13,0.1334399882223163,124.62795257053924
27986,0.0,0.692,5.166221273387358e-13,0.11928105327225061,119.50041373515263
31543,0.0,0.6836,4.4526811458635443e-13,0.11373102891589679,116.36458907440321
35100,0.0,0.6636,3.8928316871659925e-13,0.1066333270873785,113.52945693112241
38657,0.0,0.6576,3.494965883742946e-13,0.10287460431359916,111.48426709549125
42214,0.0,0.6432,3.164220718249022e-13,0.09785906356382304,109.54421205588893
45771,0.0,0.638,2.9619340114233286e-13,0.09683124572547766,108.45477953934981
49328,0.0,0.638,2.8616216150084953e-13,0.0946747540691052,107.59825355151207
52885,0.0,0.6188,2.7014397100973966e-13,0.09124975088006852,106.64539346120876
56442,0.0,0.6148,2.5723453743362865e-13,0.08968669797394295,105.77461388816205
60000,0.0,0.6148,2.493823279044932e-13,0.08986950740104808,105.08880380670952
