Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8085,0.8296,0.09718368030387507,0.09803568739814125,1.5345316868588252
2525,0.30510000000000004,0.7568,0.06702655862275389,0.1168874851366577,30.525223096649505
4950,0.06420000000000003,0.7592,0.04362260512318883,0.1709032849363082,69.68768176050881
7375,0.0046000000000000485,0.7948,0.021664031003542715,0.3252473961841379,140.62612789960653
9800,0.0,0.8772,0.001572747702471582,4.121390098805376,647.8329354987548
9850,0.0,0.8752,0.0011149602321842377,5.66659558501391,775.4094104576883
9900,0.0,0.8792,0.0007783717291409721,9.152254401897157,985.80076154687
9950,0.0,0.894,0.0003617366353259369,17.06261207409025,1349.0770264153768
10000,0.0,0.8848,4.154736437118645e-25,18712.80264262313,44953.156925790754
10050,0.0,0.898,1.565712767497193e-07,19.44862034695604,1446.6610475030948
10100,0.0,0.886,1.962055473992013e-08,9.560915916252585,1012.6125516966183
10150,0.0,0.8928,4.246585066727768e-09,5.643549178307562,781.7171498800203
10200,0.0,0.8812,2.3124830119414713e-09,4.506483059805546,701.6199818449851
10201,0.0,0.87,2.2230619536571617e-09,4.486655331208676,697.5820922938766
13758,0.0,0.7936,1.0626925534260394e-12,0.30876620008049643,186.15084264393695
17315,0.0,0.7604,3.6506220560556715e-13,0.19245526625304646,149.66410145098604
20872,0.0,0.734,2.3672992799162717e-13,0.15322525218904315,134.5902807449114
24429,0.0,0.7188,1.9761174002638352e-13,0.1349982548057213,126.43948337190135
27986,0.0,0.7076,1.8066182623830162e-13,0.12091666755343866,120.95529428177227
31543,0.0,0.6839999999999999,1.5778706167925068e-13,0.11368468373195964,117.47005630534973
35100,0.0,0.6856,1.6775486432046377e-13,0.1088708152100599,115.0619631696445
38657,0.0,0.6736,1.532811344290245e-13,0.10369757629438274,112.7875088201988
42214,0.0,0.652,1.5365722834184392e-13,0.09961401491903996,111.12115106996426
45771,0.0,0.6572,1.6747203652375376e-13,0.0990970094440889,110.0974169792249
49328,0.0,0.65,1.704381391858362e-13,0.09584691479687593,108.78397481756386
52885,0.0,0.6448,1.7209010663126992e-13,0.09458178181256499,107.863646145678
56442,0.0,0.638,1.654831606283018e-13,0.09172006841448642,107.06168469064508
60000,0.0,0.62,1.6805593822791734e-13,0.09076103789293982,106.4783960898287
