Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8089999999999999,0.8212,0.09687789357850365,0.09769023625425086,1.585488713107708
2525,0.3036,0.748,0.066610312615116,0.11672076213451577,30.42423797457209
4950,0.06120000000000003,0.7496,0.043344651765932926,0.1659701120422284,69.42739803412441
7375,0.0046000000000000485,0.7816,0.021193945631512286,0.32618075472183017,141.1916024579849
9800,0.0,0.8672,0.001454065452121494,4.202284745139464,661.0509107586329
9850,0.0,0.888,0.0011591035497650845,5.917750657420951,790.1978464609117
9900,0.0,0.8835999999999999,0.0007127161466231737,8.527802483002027,953.0252675840829
9950,0.0,0.8996,0.00040732171856396726,17.10186815460636,1348.3066198010672
10000,0.0,0.8976,3.336580148720896e-25,15353.997199480806,40866.08134511014
10050,0.0,0.8812,1.0689430823454415e-07,15.67643080468493,1300.439883904783
10100,0.0,0.8912,1.978845933430598e-08,9.611352281299915,1016.3195973449399
10150,0.0,0.8815999999999999,5.150478307200695e-09,5.728679643172767,789.5406637059162
10200,0.0,0.872,2.369767609916578e-09,4.563477186676634,700.9375673213189
10201,0.0,0.884,2.4216765557872815e-09,4.616024808358388,709.2299618059176
13758,0.0,0.7692,1.1355482325820445e-12,0.3028273710207687,185.4282967477587
17315,0.0,0.7428,4.1428184095976624e-13,0.18797101288860746,149.11197339391256
20872,0.0,0.7308,2.4778664325542867e-13,0.15122751472721224,133.62393910651176
24429,0.0,0.712,2.0521510648032687e-13,0.13242986908040133,125.99133514862413
27986,0.0,0.6952,1.8136763493789235e-13,0.12096132234621997,120.26874373104192
31543,0.0,0.6779999999999999,1.8878657524965046e-13,0.11237439882653055,117.27098642422895
35100,0.0,0.6628000000000001,1.5652880777449408e-13,0.10701693089309142,114.28894372203352
38657,0.0,0.6496,1.6576392498608493e-13,0.10185916576963508,112.50583023154792
42214,0.0,0.644,1.6246973978154352e-13,0.09897332310097987,110.87313686629606
45771,0.0,0.65,1.8151777004466753e-13,0.09607181655164612,109.5598029131596
49328,0.0,0.6332,1.7588451017367358e-13,0.09409959088856461,108.41907422629161
52885,0.0,0.6275999999999999,1.7390023398659425e-13,0.09227033385947239,107.5776101225783
56442,0.0,0.6248,1.8009156264750122e-13,0.09077775709572543,106.74194118625219
60000,0.0,0.6188,1.792545707463351e-13,0.08994840151348021,105.98116555636626
