Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8147,0.8276,0.09682956185706629,0.09749258430697585,1.555361521169661
2525,0.31279999999999997,0.7484,0.06702708951913552,0.11462578591216946,30.334579897458276
4950,0.06569999999999998,0.7592,0.04355959741502715,0.16663610957876135,69.26775253325074
7375,0.0044999999999999485,0.7908,0.021729725653682752,0.3302950623567579,142.40740959386602
9800,0.0,0.8744000000000001,0.0015084238147158168,4.3537112444164565,674.6127768507719
9850,0.0,0.894,0.0011550619058127844,5.607697470537475,769.649926315393
9900,0.0,0.874,0.0007348296652230235,8.49728098251463,949.6797365636047
9950,0.0,0.8868,0.0003562356936914281,17.447516356695832,1367.4551199080452
10000,0.0,0.8916,8.52514849386276e-27,367.11165715618125,6385.543338118485
10050,0.0,0.8924,1.3804332521533068e-07,17.53488349936196,1375.9235471670638
10100,0.0,0.89,1.883605958361051e-08,9.146700046993056,989.7877900777886
10150,0.0,0.8812,4.701984412863349e-09,5.749644732292464,785.9990266334275
10200,0.0,0.8752,2.0586556846759174e-09,4.406817748771983,685.5148376624848
10201,0.0,0.8744000000000001,1.9176844759430336e-09,4.136719031673878,673.0789694018302
13758,0.0,0.7936,1.0200867443584124e-12,0.300833987192073,185.82235277305443
17315,0.0,0.744,3.4942974752191114e-13,0.19130932047500024,149.01230175358893
20872,0.0,0.7268,2.0836792345924364e-13,0.1511561417493525,134.0075401974809
24429,0.0,0.7052,1.7490779277602403e-13,0.13326893767714035,125.96894595889562
27986,0.0,0.6932,1.4518529853484904e-13,0.12090756473711697,120.80427109754007
31543,0.0,0.6792,1.433446635733542e-13,0.11278225867371541,117.01813409552521
35100,0.0,0.6676,1.3572146386755618e-13,0.10618036744017752,114.43010251060986
38657,0.0,0.6619999999999999,1.3198465160363264e-13,0.1025111913429867,112.27562452984964
42214,0.0,0.6376,1.3255217336125905e-13,0.09992111471673476,110.63942273677725
45771,0.0,0.6576,1.3809835790468406e-13,0.097237067794758,109.31278612168276
49328,0.0,0.6444,1.4901728831540952e-13,0.09412740140499874,108.4193188262637
52885,0.0,0.6272,1.4281918048894908e-13,0.0926693444908503,107.52142772634132
56442,0.0,0.6164000000000001,1.408238807784315e-13,0.0905893960653151,106.6007959892365
60000,0.0,0.622,1.5409576152767872e-13,0.09064379712121381,105.98184531055232
