Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.7316,0.7296,0.08565634910700311,0.08554976416655015,2.4797301292419434
2525,0.3014,0.742,0.06028469748974145,0.10509352104227418,60.20296859741211
4950,0.09750000000000003,0.774,0.04023665806249728,0.17020406441516758,161.65162658691406
7375,0.01649999999999996,0.8351999999999999,0.020468707541599587,0.39971337790060685,385.5028076171875
9800,0.0,0.876,0.0023110572215361215,2.0520642180129154,1111.1246337890625
10000,0.0,0.882,0.001487474075637459,2.088377113069524,1145.8515625
10200,0.0,0.8684000000000001,0.0009402708803846257,2.030745644245416,1140.9185791015625
10201,0.0,0.8672,0.0008952284633907128,2.0199129862070717,1132.3458251953125
22650,0.0,0.8044,2.9918901111278638e-06,0.2629863712880018,443.1048583984375
35100,0.0,0.7736000000000001,1.651414597116476e-06,0.19422249960316856,388.8943786621094
47550,0.0,0.7708,1.3498490988084699e-06,0.17095993241513932,370.4952697753906
60000,0.0,0.7648,1.1826405425587332e-06,0.1594219925122869,360.6415710449219
