Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.7351,0.726,0.08594312550509993,0.08546804416620128,2.4633471965789795
2525,0.30989999999999995,0.7168,0.060446935902575646,0.10394325725396088,59.46346664428711
4950,0.09509999999999996,0.7712,0.040223751063727886,0.1671495021450326,162.30923461914062
7375,0.021499999999999964,0.8176,0.020887163135919123,0.3849740464618919,375.7878723144531
9800,0.0,0.862,0.002370112126256794,2.094747005438903,1124.17919921875
10000,9.999999999998899e-05,0.8644000000000001,0.0014980867213875123,2.140191670677771,1158.8402099609375
10200,0.0,0.8712,0.0009129533100282784,2.0697284140137677,1139.1121826171875
10201,0.0,0.8656,0.0009077781460782094,2.0292917248718023,1141.2193603515625
22650,0.0,0.7956,4.2001873185796755e-06,0.2700381498563315,443.34356689453125
35100,0.0,0.7664,2.3846074420874097e-06,0.19308213135231805,389.9338684082031
47550,0.0,0.7632,1.9240321584921313e-06,0.1717491725160622,370.5711669921875
60000,0.0,0.7516,1.6650078172452843e-06,0.15644234102105556,359.3959045410156
