Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.7354,0.712,0.08597664687317953,0.08557576508830685,2.4277892112731934
2525,0.3043,0.7348,0.059859957961856516,0.10587148275800044,60.34151840209961
4950,0.09630000000000005,0.776,0.04023441142266867,0.1678978047625846,160.71214294433594
7375,0.017900000000000027,0.8251999999999999,0.020556830521716606,0.39673712693112484,381.2375183105469
9800,9.999999999998899e-05,0.88,0.002338091250670993,2.0870901468297456,1116.5968017578125
10000,0.0,0.88,0.0015129009640459598,2.115612316040767,1137.3228759765625
10200,0.0,0.8676,0.0008959205501912617,2.0483914540197286,1129.023193359375
10201,9.999999999998899e-05,0.8776,0.0008926919531115818,2.0256112466275598,1135.8116455078125
22650,0.0,0.8032,3.0942726847139986e-06,0.2651486436068862,438.3550720214844
35100,0.0,0.7716000000000001,1.7406822094880996e-06,0.19164923733092679,386.1885986328125
47550,0.0,0.7576,1.376279242166251e-06,0.16826966893964804,366.4399719238281
60000,0.0,0.7472,1.2490188617800804e-06,0.15592211506353734,357.5425109863281
